job_id,position,study_id,status,participant,iteration,level,title,Module,Sound1,Sound2,timestamp,aborted_trial,trial_correct,Position_Target,participant_name,response_to_first,time_rewardfortouch,response_time_delay_1,response_time_delay_2
1348,64,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16.wav,Avg16.wav,2023-08-16 16:41:19,1,0,2,RACAILLE,0,1901964415,1000,1000
1348,64,13,pending,099550000003293902,3,1,OMMTask4_4,Module 2,Coo_16.wav,Avg16.wav,2023-08-16 16:48:23,0,1,2,RACAILLE,0,1933411943,1000,180
1286,2,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_08_25.wav,Avg16.wav,2023-08-16 16:48:29,0,1,2,RACAILLE,0,1933417386,1000,70
1293,9,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_08_25.wav,2023-08-16 16:48:33,0,0,1,RACAILLE,0,NA,1000,226
1346,62,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16_75.wav,Avg16.wav,2023-08-16 16:48:41,0,1,2,RACAILLE,0,1933429546,1000,46
1330,46,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_15_75.wav,Avg16.wav,2023-08-16 16:48:48,0,0,2,RACAILLE,1,1902677026,621,287
1324,40,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_15.wav,Avg16.wav,2023-08-16 16:48:53,0,1,2,RACAILLE,0,1933441731,1001,215
1327,43,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_15_50.wav,2023-08-16 16:49:00,0,1,1,RACAILLE,1,NA,544,NA
1292,8,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_08.wav,Avg16.wav,2023-08-16 16:49:06,0,1,2,RACAILLE,0,1933455231,1000,227
1313,29,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12_75.wav,2023-08-16 16:49:13,0,1,1,RACAILLE,1,NA,595,NA
1300,16,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_08.wav,Avg16.wav,2023-08-16 16:49:18,0,0,2,RACAILLE,1,2868345,716,142
1332,48,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_15.wav,Avg16.wav,2023-08-16 16:49:24,0,1,2,RACAILLE,0,1933472698,1000,334
1321,37,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_15_75.wav,2023-08-16 16:49:29,0,1,1,RACAILLE,1,NA,596,NA
1312,28,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_12_50.wav,Avg16.wav,2023-08-16 16:49:36,0,1,2,RACAILLE,0,1933485023,1000,359
1343,59,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_16_50.wav,2023-08-16 16:49:41,0,1,1,RACAILLE,1,NA,640,NA
1336,52,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16_50.wav,Avg16.wav,2023-08-16 16:49:47,0,1,2,RACAILLE,0,1933495758,1000,330
1301,17,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12_25.wav,2023-08-16 16:49:54,0,1,1,RACAILLE,1,NA,653,NA
1339,55,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_16.wav,2023-08-16 16:50:01,0,1,1,RACAILLE,1,NA,664,NA
1291,7,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_08.wav,2023-08-16 16:50:08,0,1,1,RACAILLE,1,NA,649,NA
1314,30,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Coo_12_75.wav,Avg16.wav,2023-08-16 16:50:14,0,1,2,RACAILLE,0,33203553,1000,238
1308,24,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_12.wav,Avg16.wav,2023-08-16 16:53:59,0,1,2,RACAILLE,0,1933748230,1000,257
1299,15,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_08.wav,2023-08-16 16:54:06,0,1,1,RACAILLE,1,NA,569,NA
1302,18,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_12_25.wav,Avg16.wav,2023-08-16 17:05:25,0,0,2,RACAILLE,1,NA,556,NA
1305,21,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12_75.wav,2023-08-16 17:05:30,0,1,1,RACAILLE,1,NA,630,NA
1331,47,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_15.wav,2023-08-16 17:05:35,0,1,1,RACAILLE,1,NA,598,NA
1329,45,13,pending,099550000003293902,3,1,OMMTask4_4,Module3,Avg16.wav,Coo_15_75.wav,2023-08-16 17:05:43,0,1,1,RACAILLE,1,NA,516,289
1307,23,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Avg16.wav,Coo_12.wav,2023-08-16 17:05:56,0,1,1,RACAILLE,1,NA,725,NA
